season,player,pos,fg_per_36_min,fga_per_36_min,fg_percent,avg_dist_fga,percent_fga_from_x2p_range,percent_fga_from_x0_3_range,percent_fga_from_x3_10_range,percent_fga_from_x10_16_range,percent_fga_from_x16_3p_range,percent_fga_from_x3p_range,fg_percent_from_x2p_range,fg_percent_from_x3p_range,percent_assisted_x2p_fg,percent_assisted_x3p_fg,percent_dunks_of_fga,percent_corner_3s_of_3pa,corner_3_point_percent
2023,Jaylen Brown,SF,10.2,20.7,0.491,13.9,0.648,0.245,0.204,0.104,0.095,0.352,0.576,0.335,0.477,0.687,0.053,0.125,0.279
2023,Jaylen Nowell,SG,8.1,18,0.448,13.5,0.629,0.251,0.213,0.134,0.03,0.371,0.542,0.289,0.469,0.716,0.024,0.155,0.222
2023,Jayson Tatum,PF,9.6,20.5,0.466,14.8,0.56,0.235,0.208,0.058,0.06,0.44,0.558,0.35,0.515,0.646,0.065,0.08,0.455
2023,Jeff Green,PF,5.3,10.8,0.488,11.6,0.683,0.311,0.271,0.067,0.034,0.317,0.58,0.288,0.808,0.9,0.152,0.365,0.421
2023,Jerami Grant,PF,7,14.6,0.475,14.2,0.607,0.267,0.149,0.085,0.105,0.393,0.523,0.401,0.579,0.972,0.084,0.365,0.389
2023,Jeremy Sochan,PF,6.2,13.6,0.453,10.4,0.757,0.341,0.279,0.085,0.053,0.243,0.519,0.246,0.59,1,0.127,0.254,0.147
2023,Jericho Sims,C,3.7,4.7,0.776,2.5,0.991,0.832,0.103,0.056,0,0.009,0.783,0,0.711,NA,0.626,0,NA
2023,Jevon Carter,PG,4.8,11.2,0.423,19.9,0.404,0.092,0.067,0.09,0.154,0.596,0.425,0.421,0.34,0.789,0.004,0.231,0.436
2023,Jimmy Butler,SF,8.1,15,0.539,8.4,0.884,0.322,0.348,0.158,0.056,0.116,0.564,0.35,0.377,0.694,0.069,0.534,0.345
2023,Jock Landale,C,6.5,12.4,0.528,9.8,0.751,0.377,0.297,0.053,0.024,0.249,0.621,0.25,0.771,1,0.139,0.036,0.333
2023,Joe Harris,SG,4.7,10.4,0.457,20.5,0.243,0.127,0.064,0.011,0.041,0.757,0.551,0.426,0.797,1,0,0.273,0.462
2023,Joel Embiid,C,11.5,20.9,0.548,11.3,0.849,0.273,0.196,0.245,0.135,0.151,0.587,0.33,0.6,0.894,0.066,0.04,0.25
