player,pos,fg_per_36_min,fga_per_36_min,fg_percent,avg_dist_fga,percent_fga_from_x2p_range,percent_fga_from_x0_3_range,percent_fga_from_x3_10_range,percent_fga_from_x10_16_range,percent_fga_from_x16_3p_range,percent_fga_from_x3p_range,fg_percent_from_x2p_range,fg_percent_from_x3p_range,percent_assisted_x2p_fg,percent_assisted_x3p_fg,percent_dunks_of_fga,percent_corner_3s_of_3pa,corner_3_point_percent
Trae Young,PG,8.5,19.7,0.429,15,0.669,0.159,0.245,0.15,0.116,0.331,0.476,0.335,0.174,0.325,0,0.05,0.304
Tre Jones,PG,6.2,13.5,0.459,10.7,0.787,0.276,0.262,0.21,0.039,0.213,0.506,0.285,0.26,0.867,0.004,0.323,0.255
Tre Mann,PG,6,15.2,0.393,17.2,0.487,0.126,0.204,0.108,0.05,0.513,0.475,0.315,0.267,0.605,0.012,0.121,0.452
Trendon Watford,PF,5.5,9.8,0.56,8.9,0.802,0.35,0.359,0.08,0.012,0.198,0.602,0.391,0.641,1,0.019,0.125,0.25
Trey Lyles,PF,5.4,11.8,0.458,15.8,0.412,0.279,0.123,0.007,0.002,0.588,0.595,0.363,0.69,0.989,0.088,0.354,0.435
Trey Murphy III,SF,5.7,11.8,0.484,18,0.379,0.203,0.129,0.02,0.028,0.621,0.611,0.406,0.67,0.96,0.124,0.268,0.429
Troy Brown Jr.,SF,3.9,9,0.43,17.5,0.396,0.166,0.148,0.032,0.049,0.604,0.505,0.381,0.667,0.953,0.03,0.395,0.405
Ty Jerome,SG,5.2,10.7,0.488,14.7,0.628,0.095,0.306,0.182,0.045,0.372,0.546,0.389,0.41,0.857,0,0.233,0.524
Tyler Herro,SG,7.5,17.1,0.439,17.4,0.516,0.094,0.19,0.155,0.077,0.484,0.497,0.378,0.391,0.704,0.012,0.171,0.446
Tyrese Haliburton,PG,7.9,16.1,0.49,16.2,0.522,0.216,0.164,0.094,0.048,0.478,0.572,0.4,0.247,0.447,0.021,0.092,0.514
Tyrese Maxey,SG,7.8,16.3,0.481,14.7,0.596,0.225,0.208,0.103,0.06,0.404,0.513,0.434,0.444,0.725,0.014,0.206,0.513
Tyus Jones,PG,5.8,13.2,0.438,16.6,0.541,0.085,0.182,0.235,0.039,0.459,0.495,0.371,0.284,0.793,0,0.202,0.53
Usman Garuba,PF,3.2,6.6,0.486,9.9,0.667,0.452,0.209,0.006,0,0.333,0.525,0.407,0.613,1,0.062,0.492,0.414
Victor Oladipo,SG,5.2,13.1,0.397,17.2,0.474,0.149,0.159,0.109,0.057,0.526,0.471,0.33,0.289,0.614,0.012,0.198,0.19
Vlatko Čančar,PF,4.4,9.2,0.476,15.3,0.493,0.233,0.22,0.035,0.004,0.507,0.58,0.374,0.662,0.977,0.026,0.33,0.421
Walker Kessler,C,6.3,8.8,0.72,2.7,0.993,0.671,0.304,0.002,0.014,0.007,0.723,0.333,0.67,1,0.343,0.333,0
Wendell Carter Jr.,C,6.9,13.1,0.525,13.3,0.633,0.282,0.179,0.101,0.07,0.367,0.624,0.356,0.649,0.988,0.145,0.218,0.449
Wenyen Gabriel,PF,5.4,9.1,0.596,6.1,0.862,0.523,0.312,0.019,0.008,0.138,0.647,0.278,0.676,0.9,0.092,0.528,0.263
Wesley Matthews,SG,2.5,7,0.363,21,0.225,0.106,0.056,0.05,0.013,0.775,0.528,0.315,0.842,0.974,0,0.339,0.238
Will Barton,SG,5,13.2,0.379,17.8,0.505,0.118,0.198,0.093,0.096,0.495,0.391,0.367,0.458,0.742,0.022,0.183,0.515
Xavier Tillman Sr.,PF,5.7,9.3,0.614,5.5,0.951,0.516,0.31,0.111,0.013,0.049,0.632,0.267,0.712,1,0.095,0.533,0.125
Yuta Watanabe,SF,4.4,9,0.491,16.4,0.418,0.224,0.138,0.017,0.039,0.582,0.557,0.444,0.722,1,0.06,0.533,0.514
Zach Collins,C,7.1,13.7,0.518,11.1,0.732,0.301,0.297,0.082,0.051,0.268,0.571,0.374,0.581,1,0.044,0.061,0.222
Zach LaVine,SG,8.8,18.1,0.485,14.9,0.608,0.284,0.112,0.067,0.145,0.392,0.556,0.375,0.335,0.647,0.042,0.138,0.467
Zeke Nnaji,PF,5.4,9.7,0.561,9.9,0.668,0.52,0.138,0,0.01,0.332,0.71,0.262,0.72,1,0.168,0.369,0.25
